TOTAL_VALUE,LOT_SQFT,YR_BUILT,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,REMODEL
300.6,4241,1991,1800,2,6,3,1,1,1,1,None
566.3,8249,2007,2708,2,8,4,2,1,1,1,None
286,7655,1910,1318,1.5,7,3,1,0,1,0,None
351.2,10000,1875,1392,2,7,3,1,1,1,0,None
365.1,5058,1910,1763,2,8,4,2,0,1,0,Recent
330,6330,1940,1386,1.5,6,3,1,0,1,0,None
354.1,4984,1940,1464,2,7,3,1,1,1,1,Recent
335.8,6111,1964,1740,1,7,3,1,1,1,1,None
345,20000,1900,845,1.5,6,3,1,0,1,0,None
356.4,5967,1942,1836,2,8,3,2,0,1,0,Old
379,7940,1900,2436,2,8,4,2,0,1,1,None
352.1,6003,1987,1350,2,7,3,2,0,1,0,None
437.3,7000,1997,1680,2,6,3,2,1,1,0,None
404.2,5488,1940,1992,1.5,8,4,2,1,1,1,Recent
283.4,4774,1940,1470,1,5,2,1,0,1,1,None
326.4,6029,1940,1265,1.5,6,3,1,1,1,0,None
309.2,5057,1948,1224,1.5,7,3,2,0,1,0,None
332.9,5682,1940,1488,2,7,3,1,1,1,0,None
260.4,3819,1930,1299,1.5,6,3,1,0,1,0,None
339.3,5651,1940,1306,1.5,6,3,2,1,1,1,Recent
307.9,5005,1928,1369,2,6,3,1,0,1,0,Old
346.3,8145,1940,1546,1.5,6,3,1,0,1,1,Recent
479.1,9642,1999,1872,2,7,4,2,1,1,1,None
335.6,6475,1946,1265,1.5,6,3,1,1,1,0,None
261.5,4175,1940,768,1,4,2,1,0,1,0,None
355.1,,1940,1224,1.5,7,3,2,0,1,1,Recent
356.8,5005,1996,1680,2,6,3,2,1,1,1,None
287.3,3288,1955,1503,1.5,7,3,2,1,1,1,None
331.9,5400,1940,1224,1.5,6,3,1,0,1,1,None
387.1,8238,1968,1922,1,9,4,2,0,1,1,None
307.6,5092,1945,1306,1.5,6,3,2,0,1,0,Old
360.9,5400,1950,1440,2,6,3,3,0,1,0,Recent
466.1,8970,1999,1872,2,7,4,2,1,1,1,None
340,5400,1940,1376,1.5,6,3,1,0,1,1,Recent
303.9,8200,1934,1304,1,6,2,2,0,1,1,Recent
303.5,4200,1960,1710,2,10,4,1,1,1,1,None
301.4,6444,1940,1474,1.5,6,3,1,1,1,1,None
339.9,5035,1925,1523,1,6,2,1,0,1,0,Recent
281.3,3960,1955,1630,2,8,4,2,1,1,1,None
530.1,6227,1999,2359,2,8,4,2,1,1,0,None
310.4,3150,1955,1620,2,7,4,1,1,1,1,Old
344.6,8151,1983,2056,1,5,2,1,2,1,1,None
525.1,6257,2001,2494,2,9,4,2,0,1,1,None
285.3,5024,1940,1306,1.5,6,3,2,0,1,0,None
302.3,4200,1930,1352,2,8,3,1,0,1,1,Recent
243.3,3150,1962,1420,1.5,4,2,1,0,1,1,None
334.9,6012,1910,1911,2,7,3,1,1,1,0,None
327.5,5968,1910,1839,2,7,3,1,1,1,0,None
586.6,8890,2001,2774,2,9,4,3,1,1,1,None
347.3,7355,1920,1980,2,7,3,1,1,1,0,None
267.6,5077,1956,876,1,5,2,1,0,1,0,None
274.2,3617,1955,1435,1.5,5,2,1,1,1,1,None
404.6,6253,1959,1989,1,6,4,3,0,1,1,Recent
339.9,6300,1960,1625,1,7,4,1,1,1,1,None
420.8,7861,1967,2888,1,12,4,2,1,1,0,None
283.5,4200,1930,1484,2,6,3,1,1,1,0,None
620.3,6255,2001,3446,2,10,4,3,1,1,2,None
346.3,4050,1940,1150,1,6,3,1,1,1,1,Recent
295.07,5131,1945,1486,1.5,6,4,2,0,1,0,Old
297.6,3628,1962,1680,2,7,3,1,1,1,1,None
310.7,6001,1969,2074,1,10,4,2,0,2,2,None
442.6,4800,1999,2282,2,6,3,2,1,1,1,None
277.5,4050,1945,1014,1,6,3,1,1,1,1,None
310.6,3639,1955,1421,1.5,7,3,1,1,1,1,Old
327.1,6754,1960,1340,1,6,3,1,0,1,1,None
307.5,2100,1989,1400,2,6,3,1,1,1,1,None
243.3,4200,1955,1120,1,6,3,1,1,1,1,None
352.8,6001,1965,1826,1,8,3,1,1,1,1,Recent
258.6,5460,1950,1080,1,6,2,1,0,1,1,None
295.5,4050,1960,1387,1.5,6,3,1,1,1,1,None
490.7,6011,1999,2483,2,9,3,2,1,1,1,None
330.3,6317,1969,1440,2,6,3,1,1,1,0,None
290.8,6850,1958,1414,1.5,6,2,1,1,1,1,None
350.7,9600,1950,1636,1,9,3,2,0,2,0,None
301.1,6000,1965,1696,1,7,5,1,1,1,2,None
278.7,6400,1974,1633,1,8,4,2,0,1,1,Old
298.2,5824,1945,1120,1,6,3,1,0,1,0,None
249,4200,1950,988,1,5,2,1,0,1,1,None
287.5,6000,1965,1781,1,8,4,1,1,1,0,None
434.3,13267,1960,1931,1.5,6,2,1,1,1,1,Recent
508.8,3911,2004,2416,2,7,4,3,1,1,1,None
338.8,10537,1910,1380,2,7,3,1,1,1,1,None
363.5,7468,1972,2035,2,10,4,2,1,1,0,Recent
335.3,6400,1974,2612,1,7,4,1,1,1,1,Old
353.5,12600,1955,1347,1,6,3,1,1,1,1,None
291.5,6000,1971,2028,1,8,4,1,1,1,0,None
325.8,4900,1970,1659,2,8,4,2,0,1,1,None
368.2,7200,1900,1669,2,7,3,1,1,1,0,Recent
361.7,6000,1978,1590,2,7,4,2,0,1,0,None
286.3,6000,1965,1781,1,8,4,1,1,1,0,None
315.7,6400,1965,1633,1,8,3,1,1,1,1,Old
282.4,7770,1950,900,1,5,2,1,0,1,1,None
337.5,5914,1925,1131,1,6,3,1,0,1,0,None
320.1,5290,1950,1824,2,7,4,2,0,1,0,Recent
272.9,2800,1920,1430,2,6,3,1,1,1,0,None
243.2,4868,1950,800,1,5,2,1,0,1,1,None
305,7448,1984,1306,1.5,8,3,2,0,1,1,None
277.7,2800,1955,1306,1.5,7,3,2,0,1,1,None
316.9,4449,1910,1208,1.5,6,3,1,2,1,0,Recent
297.1,6000,1971,1997,1,7,3,1,1,1,0,None
467,4800,2003,2206,2,9,4,2,2,1,1,None
302.4,7440,1950,900,1,6,3,1,0,1,0,None
253.2,4200,1955,1403,1.5,6,2,2,0,1,1,None
375.1,6000,1978,1590,2,7,4,2,1,1,0,None
242.9,4151,1920,1248,2,7,3,1,0,1,0,None
307.1,6000,1965,2009,1,9,3,2,0,1,0,None
274.1,6781,1956,1000,1,5,2,1,0,1,1,None
237,3200,1911,1020,2,6,3,1,0,1,0,Old
253,6300,1964,1155,1,6,3,1,0,1,1,None
299.4,6081,1960,1082,1,5,3,1,1,1,1,None
286.9,7912,1955,864,1,6,3,1,0,1,1,None
327.5,6000,1980,1590,2,7,3,1,1,1,0,None
367.5,4895,1989,1800,2,7,4,2,1,1,1,None
308,5160,1920,1452,2,7,3,2,0,1,0,None
516.7,6000,2005,2597,2,11,4,2,1,1,1,None
348.7,7000,1986,1954,1,9,4,2,0,1,1,None
367.1,6750,1956,1216,1,8,3,2,0,2,1,None
299.4,3900,1920,1754,2,7,3,2,1,1,0,Old
296.5,7416,1960,1082,1,6,2,1,1,1,0,None
360,4544,1989,1800,2,6,3,2,1,1,1,None
325.9,3500,1960,1632,2,6,3,2,0,1,1,Old
360.8,6000,1978,1590,2,7,4,1,1,1,0,Old
283,3200,1965,1410,2,7,3,1,1,1,1,Old
368,2295,2002,1728,2,7,3,2,1,1,1,None
297.8,7442,1950,1204,1,6,3,1,0,1,1,None
239.9,2800,1955,1306,1.5,7,3,1,0,1,0,None
293.7,6548,1960,1082,1,5,2,1,0,1,1,None
412.4,6000,1993,1680,2,6,3,1,1,1,1,None
382,7300,1978,1590,2,7,4,1,1,1,0,None
275,4294,1965,1470,2,7,3,1,1,1,1,None
318.2,8001,1925,1408,1,5,2,1,0,1,0,None
266.3,6089,1960,1082,1,5,3,1,0,1,0,None
282.2,4392,1914,1568,2,7,3,1,0,1,0,None
325.2,5950,1962,2293,1,8,3,1,1,2,0,None
287.8,6750,1956,960,1,6,3,1,0,1,1,None
354.2,6000,1926,1650,2,8,3,2,0,1,0,None
289.5,4335,1965,1326,2,7,3,1,1,1,1,Old
186.3,4300,1920,960,1,5,2,1,0,1,1,None
398.1,7287,1999,1800,2,6,3,2,0,1,0,None
283.5,4824,1916,933,1.5,7,3,2,0,1,0,None
254.5,5095,1960,1082,1,5,3,1,0,1,1,None
303.9,6000,1940,1228,2,6,3,1,1,1,0,None
262.1,2100,1900,972,1.5,6,3,1,1,1,0,Recent
273.1,7258,1950,900,1,5,2,1,0,1,1,None
210.9,4281,1929,900,1,5,2,1,0,1,0,None
272.4,4416,1925,1083,1,8,3,1,1,1,1,None
279.6,6026,1960,1487,1,9,3,1,1,1,0,None
348.9,5300,1963,1966,1,8,3,1,1,1,0,None
325.2,6750,1950,1305,1.5,6,3,1,1,1,1,None
323,2100,1900,1544,2.5,6,3,1,0,1,0,Recent
337.3,6730,1963,1871,2,7,3,2,1,1,0,Old
182.7,1616,1920,856,2,5,2,1,0,1,0,None
285.8,5144,1963,1539,1.5,6,3,1,1,1,0,None
259,4200,1900,1744,2,6,3,1,0,1,0,None
331.1,5307,1960,1726,1,8,4,1,1,2,0,None
329.2,5663,1965,1320,2,7,3,1,1,1,0,None
239.3,3420,1918,1310,2,6,3,1,0,1,0,None
272,6073,1951,900,1,5,2,1,0,1,1,None
207.9,2968,1920,938,1.5,5,2,1,0,1,0,None
294.4,6750,1950,1000,1,5,2,1,1,1,1,None
312.5,6099,1960,2156,1,6,3,2,0,1,0,None
401.7,8056,2001,1976,2,8,4,2,1,1,1,None
288.5,3150,1900,1467,2,7,4,1,1,1,0,None
305.4,6291,1960,1380,2,6,3,1,1,1,0,None
283.9,4200,1915,1552,2,7,3,1,0,1,0,None
272.2,5507,1960,1469,1.5,7,2,2,0,1,0,None
271.3,5769,1960,1487,1,6,2,1,1,1,0,None
300.2,6444,1957,1469,1.5,6,2,2,0,1,0,None
279.8,6720,1960,1246,1,6,3,1,0,1,1,None
509.4,24677,1960,2601,1.5,8,5,3,0,1,0,Recent
298.9,7133,1950,1008,1,6,3,1,0,1,1,None
325,3850,1910,1276,2,8,3,1,1,1,0,Old
356,6750,1950,1200,1,7,3,1,0,1,1,Recent
241.3,3360,1920,1105,1.5,6,2,1,1,1,0,None
314.3,7109,1960,1380,2,8,3,1,1,1,0,None
366.3,6327,2001,1976,2,7,4,2,1,1,1,None
323.1,5643,1960,1896,2,8,4,1,1,1,0,None
286.9,6044,1957,1469,1.5,5,2,1,0,1,0,None
293.2,7408,1950,984,1,5,2,1,1,1,1,None
293.8,5835,1960,1469,1.5,6,3,1,1,1,0,None
167.6,1980,1900,690,1,3,1,1,0,1,0,None
253.3,3402,1924,1350,2,6,3,1,1,1,0,None
269.3,3850,1910,1152,2,6,2,1,0,1,0,None
310.2,7200,1909,1364,2,5,2,1,1,1,0,None
217.9,3360,1957,1008,1,6,3,1,0,1,1,None
395,4291,1990,1684,2,6,3,1,1,1,0,None
298.5,6514,1960,1380,2,8,3,1,1,1,0,None
561.8,9604,2006,2455,2,8,4,2,1,1,1,None
220,3205,1924,1061,1.5,6,3,1,0,1,0,None
334.4,7622,1940,1510,1.5,6,3,1,1,1,1,None
331.2,7796,1962,1469,1.5,7,3,2,0,1,0,None
311.9,6750,1950,1140,1,7,2,2,0,1,2,None
286.3,3628,1950,1056,1,5,2,1,0,1,1,Recent
311.9,13209,1950,1075,1,6,3,1,1,1,1,None
144.6,1017,1920,797,1.5,5,2,1,0,1,0,None
292.5,5602,1960,1469,1.5,6,2,1,1,1,0,None
233.7,3360,1950,1008,1,6,3,2,1,1,1,None
287.8,6000,1960,1726,1,6,4,2,0,2,0,None
309.5,5958,1960,1560,2,6,3,1,1,1,0,None
278.4,4343,1959,912,1,6,3,2,0,1,1,None
222.4,3850,1905,1188,2,5,2,1,1,1,0,None
319.9,6539,1943,1712,1.5,8,1,1,0,1,1,Recent
306.5,6021,1969,1016,1,6,3,2,0,1,1,None
240.9,3728,1920,936,1.5,6,3,1,0,1,0,None
270.7,5013,1900,1497,2,6,3,1,0,1,0,None
314.2,3486,1960,1713,1,8,4,2,0,1,1,None
306.5,6000,1967,968,1,6,3,2,0,2,1,None
402.5,5981,1950,2369,2,9,4,2,0,1,1,Recent
358.4,12853,1950,1625,2,7,4,2,0,1,1,Recent
309.1,6794,1959,1577,1,8,3,1,1,1,0,None
348.9,4311,1950,1529,1.5,6,3,1,1,1,1,None
331.3,8323,1960,1966,1,8,4,1,1,2,0,None
562,7682,2005,2724,2,8,4,2,1,1,1,None
246.4,3780,1950,1008,1,6,2,2,0,1,1,None
298,5931,1961,1533,1.5,8,3,1,1,1,0,None
287.2,6750,1950,1000,1,5,2,1,0,1,1,None
279.4,6540,1945,1075,1,6,3,1,0,1,1,None
308.9,13051,1942,1075,1,6,3,1,0,1,1,None
273.6,4200,1955,1075,1,7,3,1,0,1,1,None
400.8,4117,1992,2079,2,7,3,2,0,1,1,None
338,6000,1960,2134,1,7,3,1,1,1,0,None
294.3,4486,1950,1378,1.5,6,3,1,1,1,1,None
357.7,6057,1960,1966,1,6,3,1,0,1,0,Recent
319.1,4386,1950,1313,1.5,7,3,2,0,1,0,None
206,2436,1920,1265,1.5,5,3,1,0,1,0,None
282.1,4603,1910,1426,2,7,3,1,1,1,0,Old
282.4,5401,1960,968,1,5,3,1,0,1,1,None
293.9,5110,1950,1306,1.5,6,3,1,1,1,1,None
322.4,5981,1940,1506,1.5,7,3,1,0,1,1,None
337.2,13250,1950,1075,1,6,3,1,1,1,1,None
313.7,4288,1965,1368,2,9,4,1,1,1,1,None
280.2,4200,1955,1200,2,6,3,1,1,1,1,None
297.8,5975,1955,1469,1.5,7,3,2,0,1,0,None
474.4,5604,2008,2118,2,8,4,2,1,1,0,None
269,5301,1910,2428,2,9,5,2,0,1,0,None
313.6,4998,1959,1589,1,7,3,1,1,1,2,None
322.1,7163,1965,1487,1,7,3,1,1,1,0,None
204.9,4200,1920,990,1,5,3,1,0,1,1,None
563.1,9021,2005,2605,2,8,4,2,1,1,1,None
313.1,4696,1965,1368,2,7,4,1,1,1,1,None
282.5,6000,1960,1538,1,8,3,1,1,1,0,None
337,6047,1950,1490,1.5,7,3,2,0,1,1,Recent
331.2,13494,1950,1306,1.5,6,3,2,0,1,1,None
311.1,6000,1960,1966,1,7,3,2,0,1,0,None
355.9,5998,1960,1726,1,8,4,2,0,1,0,Recent
315,6725,1964,1372,2,6,3,1,1,1,1,None
177.4,3624,1910,600,1,5,2,1,0,1,0,None
298.1,6000,1960,1692,1,7,3,1,1,1,0,None
331,3603,1930,1612,2,5,2,1,0,1,0,Recent
396.8,14065,1940,1306,1.5,9,3,2,1,1,1,Recent
349.3,5050,1900,1842,2,9,3,1,1,1,0,Recent
338.2,9733,1920,1377,1.5,6,3,2,0,1,0,None
276.6,4200,1955,1200,2,6,3,1,1,1,1,None
255,4200,1960,970,1,7,3,1,1,1,1,None
277.7,4759,1959,918,1,5,3,1,1,1,1,None
347.9,4269,1960,1368,2,6,4,1,1,1,1,None
440.2,8247,1940,1980,2,7,3,1,0,1,1,Recent
357.3,7939,1964,1726,1,9,4,1,1,1,0,None
558.8,8317,2005,2605,2,8,4,2,1,1,1,None
305,3861,1965,1369,2,7,4,1,1,1,1,None
322.4,4265,1900,1350,2,6,3,1,1,1,0,Recent
105,997,1910,504,1,4,2,1,0,1,0,None
380.6,6074,1965,2014,1,8,3,2,0,2,1,Recent
350.1,14707,1942,1529,1.5,7,4,2,0,1,1,None
302.8,5975,1960,1380,2,7,3,1,1,1,0,None
310.7,6465,1960,1404,1,5,3,1,1,1,1,None
290.2,6000,1960,1692,1,7,3,1,1,1,0,None
320.2,6047,1957,1387,1.5,6,3,2,0,1,1,Recent
313.6,8104,1955,1492,1,5,3,1,1,1,1,None
320,4411,1960,1558,1,7,3,1,1,1,2,None
282.2,5823,1963,1320,2,6,3,1,1,1,0,None
287.4,5277,1959,952,1,7,3,1,1,1,1,None
336.6,4200,1960,1953,1.5,7,3,1,1,2,0,None
307.2,6100,1960,1583,1,8,3,1,1,1,0,None
277,4749,1961,1404,1,7,3,1,1,1,1,None
347.2,10050,1942,1706,2,8,3,1,2,1,1,None
201,4435,1900,1637,2,7,4,1,1,1,0,None
353.5,9747,1960,1726,1,9,4,2,0,2,0,Old
423.4,9730,1992,2188,1,8,3,2,0,2,0,None
323.5,6022,1961,1679,1.5,7,3,1,1,1,0,None
576,6864,2005,3108,2,8,4,2,1,1,1,None
301.1,6271,1961,,1,8,4,2,0,1,1,None
374,7550,1943,1306,1.5,6,3,1,0,1,1,Recent
300,5975,1955,1469,1.5,7,3,1,1,1,0,None
348.8,5999,1960,1966,1,7,3,1,1,1,0,None
308.6,5742,1960,1320,2,7,3,1,1,1,0,None
320.9,8088,1967,1726,1,8,3,2,0,1,0,None
326.8,4880,1960,1354,1.5,6,3,2,0,1,1,Old
354.4,6710,1925,1786,2,7,3,2,0,1,0,Recent
265.3,7045,1920,1378,1.5,6,3,1,1,1,0,None
376.2,2700,1990,1536,2,8,3,2,1,1,1,None
296.9,4659,1950,1404,1,5,3,1,0,1,1,None
252.985,7270,1920,1326,2,7,3,1,1,1,0,None
339.1,5273,1943,1734,2,7,5,2,0,1,1,Recent
299.4,4949,1960,1726,1,6,3,2,0,1,0,Recent
323.5,5204,1965,1402,1.5,6,3,1,1,1,1,None
359.3,5918,1988,1930,1,8,4,2,0,2,0,None
361.7,5376,1920,1370,2,7,4,1,1,1,0,Recent
256.4,2410,1950,1632,2,7,3,2,0,1,0,None
236.7,3248,1920,1270,2,6,3,1,0,1,0,None
250.3,4270,1920,1232,2,6,3,1,0,1,0,None
340.7,5941,1962,1469,1.5,7,3,2,0,1,0,Recent
312.5,5939,1957,1609,1.5,7,3,1,1,1,0,None
287.4,6100,1960,1701,1,7,3,1,1,1,0,None
320.8,6000,1967,1151,1,7,3,1,1,1,1,None
329.4,6043,1957,1536,1.5,7,4,1,0,1,1,None
307.4,10067,1960,1726,1,8,4,1,1,1,0,None
327,10030,1950,1275,1.5,6,3,1,0,1,1,None
406.9,6756,1996,1680,2,7,3,2,0,1,1,None
270.4,5246,1940,1360,1.5,6,3,2,0,1,1,None
278.6,6076,1940,1320,2,6,3,1,1,1,1,None
392,5671,1958,2010,2,9,4,2,0,1,1,Old
310.7,4407,1960,1404,1,6,3,1,1,1,0,None
283,4514,1959,1404,1,5,3,1,1,1,1,None
353.5,5885,1988,1930,1,9,4,2,0,2,0,None
302.3,6043,1964,1641,1,8,3,2,0,1,0,None
424.9,5518,2003,1560,2,6,3,1,1,1,0,None
348.3,5441,1960,1726,1,8,4,2,0,1,1,Recent
354.3,9351,1960,1247,1,7,4,1,1,1,0,None
297.9,5151,1962,1469,1.5,7,3,2,0,1,0,None
327.2,6042,1954,1550,1.5,7,3,1,0,1,1,None
306.1,6877,1963,1808,1,6,3,1,1,1,0,None
428.2,5965,1963,1637,1.5,8,3,3,0,1,1,Old
366.3,5662,1961,1750,2,7,4,2,0,1,1,Recent
263.1,5273,1950,1306,1.5,6,2,1,0,1,1,None
388.7,5775,1988,1469,1.5,8,3,3,0,1,0,None
313.6,5715,1960,1940,2,6,3,1,1,1,1,None
263,4473,1960,1404,1,7,4,1,1,1,0,None
241.3,4410,1961,1404,1,7,3,1,1,1,0,None
326,6194,1950,1311,1,5,2,1,0,1,1,None
301,6200,1963,1726,1,6,3,2,0,1,0,Old
272.6,5246,1945,1306,1.5,7,4,2,0,1,1,None
301.6,6000,1967,1726,1,6,3,1,1,1,0,None
366.8,7128,1960,1726,1,6,2,2,0,1,0,None
311,5981,1960,1320,2,6,3,1,1,1,0,None
282.5,6000,1960,1726,1,5,3,1,1,1,0,None
301.2,5658,1964,1464,1.5,7,3,1,1,1,0,None
298.8,5963,1963,1469,1.5,6,3,2,0,1,1,None
317.8,6197,1963,2059,1,6,3,1,0,1,1,None
371.9,5695,1988,1469,1.5,6,2,2,1,1,0,None
275.9,7548,1943,1075,1,6,2,1,0,1,1,None
297.7,5700,1960,1641,1.5,6,2,2,0,1,0,None
332.4,7889,1960,1939,1.5,8,4,2,0,1,1,None
297.1,7917,1960,1487,1,7,3,1,1,1,0,None
323.5,7912,1960,1469,1.5,7,3,2,0,1,0,None
306.4,5273,1950,1075,1,6,2,1,1,1,1,Old
306.3,5914,1964,1726,1,8,4,2,0,1,0,None
280.6,4410,1959,1404,1,6,3,1,1,1,0,None
292.4,4463,1958,1404,1,6,3,1,0,1,0,None
307.2,6691,1967,1863,1,6,3,1,1,2,0,None
275.5,4800,1960,1109,1,6,3,1,0,1,1,None
259.1,5273,1945,1155,1,6,2,1,0,1,1,None
267.3,4298,1950,1128,1,7,3,1,1,1,1,None
334.9,4860,1910,1792,2,7,3,1,1,1,0,None
300.1,5608,1963,1125,1,5,3,1,0,1,0,None
332.4,9820,1943,1306,1.5,6,2,1,0,1,1,Recent
278.1,11541,1920,1779,1.5,5,2,1,0,1,0,None
350.3,4654,1890,1755,1.5,9,4,2,0,1,0,None
353.3,6203,1960,1870,1,8,3,1,1,1,0,None
213.4,1696,1904,1518,2,7,4,1,0,1,0,None
297.9,5759,1950,1306,1.5,7,4,1,1,1,0,Recent
316.7,6004,1960,1726,1,7,3,1,1,1,0,Recent
339,10370,1960,1435,1.5,7,3,2,0,1,0,None
340.1,5712,1940,2036,2,7,3,1,1,1,1,None
264.5,5963,1963,1008,1,7,3,1,0,1,0,None
281.9,5739,1960,1726,1,7,3,1,1,1,0,None
312.7,5633,1960,1469,1.5,6,2,2,0,1,1,None
290,7280,1958,1487,1,5,3,1,1,1,0,None
267,3138,1920,1520,2,6,3,1,1,1,0,None
289.8,4253,1920,1428,1.5,7,3,1,0,1,1,None
295.5,6298,1967,1726,1,6,3,1,1,1,0,None
298.1,6506,1960,1966,1,8,3,1,1,1,0,None
288.2,4159,1960,1306,1.5,6,2,1,0,1,1,None
281.9,8318,1942,1075,1,6,3,1,0,1,1,None
276.3,7439,1943,1075,1,6,3,1,0,1,1,None
329.7,19466,1940,1075,1,7,3,1,1,1,1,None
286.5,4272,1965,1512,1,8,3,1,1,1,1,None
348,10493,1966,1320,2,7,3,1,1,1,0,None
289.4,5211,1956,984,1,6,2,1,0,1,1,None
325.5,6083,1957,1472,2,7,3,1,1,1,0,Old
306,6031,1960,1966,1,8,3,1,1,2,0,None
309.2,6000,1960,1870,1,9,4,1,1,1,0,None
293.2,7035,1955,978,1,5,3,1,0,1,1,None
295.7,5836,1960,1469,1.5,7,3,2,0,1,0,None
282.6,5963,1963,1008,1,7,3,1,1,1,0,None
342.5,3500,1910,1536,1.5,5,2,2,0,1,0,Recent
204.1,3854,1920,962,2,6,3,1,1,1,0,None
346.5,7680,1956,1354,1.5,6,2,1,1,1,1,None
290.3,4047,1920,1440,2,7,4,2,0,1,1,None
273.1,5356,1960,941,1,5,2,1,0,1,1,None
298.7,4310,1930,1428,1.5,6,2,1,1,1,1,None
325.7,6895,1960,1966,1,7,3,1,1,1,0,None
338.3,6406,1960,1726,1,8,4,2,0,1,0,Recent
265.9,6946,1950,1075,1,6,3,1,0,1,1,None
198.4,3228,1920,1006,1.5,6,3,1,0,1,0,None
298.6,6935,1965,1469,1.5,6,2,2,0,1,0,None
326.8,6690,1957,1308,1,7,3,1,1,1,1,None
350,6900,1960,1961,1,6,3,3,0,1,1,None
319.2,6315,1960,1726,1,7,3,2,0,2,0,None
398.2,10044,1960,1726,1,6,3,1,1,1,0,Recent
273.4,7931,1938,1075,1,6,3,1,0,1,1,Recent
288.4,6000,1960,1487,1,5,2,1,0,1,0,None
304.9,6858,1925,1133,2,7,3,1,0,1,0,None
313.4,6031,1960,1993,1,9,3,1,1,2,0,None
